title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Aboriginal and Torres Strait Islander health worker,411511,411511,https://www.anzscolookup.com.au/occupations/411511,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Accommodation And Hospitality Managers (NEC),141999,141999,https://www.anzscolookup.com.au/occupations/141999,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 6 states"
Accountant (General),221111,221111,https://www.anzscolookup.com.au/occupations/221111,CPAA / CAANZ / IPA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 5 states, 491: 6 states"
actor,211111,211111,https://www.anzscolookup.com.au/occupations/211111,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
"actors, dancers and other entertainers (nec)",211199,211199,https://www.anzscolookup.com.au/occupations/211199,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Actuary,224111,224111,https://www.anzscolookup.com.au/occupations/224111,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Acupuncturist,252211,252211,https://www.anzscolookup.com.au/occupations/252211,Chinese Medicine Board of Australia,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 6 states, 491: 6 states"
Advertising Manager,131113,131113,https://www.anzscolookup.com.au/occupations/131113,IML,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 3 states, 491: 4 states"
Advertising Specialist,225111,225111,https://www.anzscolookup.com.au/occupations/225111,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 4 states, 491: 4 states"
Aeronautical Engineer,233911,233911,https://www.anzscolookup.com.au/occupations/233911,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Aeroplane Pilot,231111,231111,https://www.anzscolookup.com.au/occupations/231111,CASA,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 6 states"
Agricultural and Agritech Technician,311112,311112,https://www.anzscolookup.com.au/occupations/311112,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Agricultural Consultant,234111,234111,https://www.anzscolookup.com.au/occupations/234111,VETASSESS,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 6 states"
Agricultural Engineer,233912,233912,https://www.anzscolookup.com.au/occupations/233912,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Agricultural Research Scientist,234114,234114,https://www.anzscolookup.com.au/occupations/234114,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
Agricultural Scientist,234112,234112,https://www.anzscolookup.com.au/occupations/234112,VETASSESS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 6 states"
Agricultural Technician,311111,311111,https://www.anzscolookup.com.au/occupations/311111,VETASSESS,ROL,Subclass 491,Subclass 494,"190: 0 states, 491: 6 states"
Agronomist,234115,234115,https://www.anzscolookup.com.au/occupations/234115,VETASSESS,CSOL,Not available,"Subclass 482, Subclass 186","190: 0 states, 491: 0 states"
